  0%|                                                                 | 0/500 [00:00<?, ?it/s]Passing `generation_config` together with generation-related arguments=({'disable_compile'}) is deprecated and will be removed in future versions. Please pass either a `generation_config` object OR all generation parameters explicitly, but not both.
                                                                                              
{'loss': '0.0001997', 'grad_norm': '0.1592', 'learning_rate': '8.98e-06', 'num_tokens': '2.312e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.35', 'rewards/reward_func/std': '0.1', 'reward': '0.35', 'reward_std': '0.1', 'frac_reward_zero_std': '0.5', 'kl': '0.004992', 'entropy': '1.727', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '55.07', 'epoch': '0.104'}
{'loss': '0.0002177', 'grad_norm': '0.1484', 'learning_rate': '8.94e-06', 'num_tokens': '2.391e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.35', 'rewards/reward_func/std': '0.1', 'reward': '0.35', 'reward_std': '0.1', 'frac_reward_zero_std': '0.5', 'kl': '0.005441', 'entropy': '1.456', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.05', 'epoch': '0.108'}
{'loss': '-0.1207', 'grad_norm': '0.1533', 'learning_rate': '8.9e-06', 'num_tokens': '2.46e+05', 'completions/mean_length': '469.8', 'completions/min_length': '343', 'completions/max_length': '512', 'completions/clipped_ratio': '0.875', 'completions/mean_terminated_length': '87', 'completions/min_terminated_length': '87', 'completions/max_terminated_length': '87', 'rewards/reward_func/mean': '0.275', 'rewards/reward_func/std': '0.1366', 'reward': '0.275', 'reward_std': '0.1366', 'frac_reward_zero_std': '0', 'kl': '0.00613', 'entropy': '1.392', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '52.97', 'epoch': '0.112'}
{'loss': '0.0002096', 'grad_norm': '0.003967', 'learning_rate': '8.86e-06', 'num_tokens': '2.566e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.4', 'rewards/reward_func/std': '0', 'reward': '0.4', 'reward_std': '0', 'frac_reward_zero_std': '1', 'kl': '0.00524', 'entropy': '1.522', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '55.24', 'epoch': '0.116'}
{'loss': '0.0002226', 'grad_norm': '0.002945', 'learning_rate': '8.82e-06', 'num_tokens': '2.648e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3875', 'rewards/reward_func/std': '0.025', 'reward': '0.3875', 'reward_std': '0.025', 'frac_reward_zero_std': '0.5', 'kl': '0.005566', 'entropy': '1.558', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '53.97', 'epoch': '0.12'}
{'loss': '0.0002362', 'grad_norm': '0.166', 'learning_rate': '8.78e-06', 'num_tokens': '2.747e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3375', 'rewards/reward_func/std': '0.125', 'reward': '0.3375', 'reward_std': '0.125', 'frac_reward_zero_std': '0', 'kl': '0.005905', 'entropy': '1.92', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.75', 'epoch': '0.124'}
{'loss': '0.0002006', 'grad_norm': '0.001778', 'learning_rate': '8.74e-06', 'num_tokens': '2.869e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.4', 'rewards/reward_func/std': '0', 'reward': '0.4', 'reward_std': '0', 'frac_reward_zero_std': '1', 'kl': '0.005015', 'entropy': '1.569', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '56.91', 'epoch': '0.128'}
{'loss': '0.0001918', 'grad_norm': '0.001549', 'learning_rate': '8.7e-06', 'num_tokens': '2.983e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.4', 'rewards/reward_func/std': '0', 'reward': '0.4', 'reward_std': '0', 'frac_reward_zero_std': '1', 'kl': '0.004794', 'entropy': '1.729', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '56.92', 'epoch': '0.132'}
{'loss': '0.0002601', 'grad_norm': '0.002365', 'learning_rate': '8.66e-06', 'num_tokens': '3.064e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.4', 'rewards/reward_func/std': '0', 'reward': '0.4', 'reward_std': '0', 'frac_reward_zero_std': '1', 'kl': '0.006503', 'entropy': '1.964', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.04', 'epoch': '0.136'}
{'loss': '0.0002423', 'grad_norm': '0.1455', 'learning_rate': '8.62e-06', 'num_tokens': '3.179e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.2875', 'rewards/reward_func/std': '0.1355', 'reward': '0.2875', 'reward_std': '0.1355', 'frac_reward_zero_std': '0', 'kl': '0.006057', 'entropy': '1.775', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '56.13', 'epoch': '0.14'}
